time,Bx,By,Bz,F
18759.239583333332,21016.14,1729.54,43994.32,48786.98229418991
18759.24027777778,21016.06,1730.85,43994.11,48786.80492036961
18759.240972222222,21015.58,1730.65,43994.23,48786.69926785168
18759.241666666665,21015.27,1730.72,43994.2,48786.54116179276
18759.24236111111,21014.95,1730.98,43994.21,48786.42156160872
18759.243055555555,21014.67,1731.11,43994.25,48786.341634759825
18759.24375,21014.21,1731.03,43994.25,48786.14065334027
18759.244444444445,21014.04,1731.1,43994.24,48786.060893550326
18759.245138888888,21013.9,1731.2,43994.31,48786.06726337039
18759.245833333334,21013.73,1731.18,43994.33,48786.01136447005
18759.246527777777,21013.54,1730.64,43994.49,48786.05465193204
18759.24722222222,21013.37,1730.59,43994.52,48786.00670822936
18759.247916666667,21013.17,1730.75,43994.49,48785.899185845694
18759.24861111111,21012.8,1730.7,43994.56,48785.80117127933
18759.249305555557,21012.5,1730.54,43994.64,48785.738424986455
18759.25,21012.13,1730.86,43994.51,48785.47318225581
18759.250694444443,21011.74,1731.17,43994.38,48785.19897449328
18759.25138888889,21011.14,1731.37,43994.38,48784.94765561299
18759.252083333333,21011.13,1730.85,43994.51,48785.04213116455
18759.25277777778,21011.09,1730.86,43994.62,48785.124456868005
18759.253472222223,21010.36,1732.25,43994.28,48784.55278170027
18759.254166666666,21010.06,1732.37,43994.17,48784.3286415771
18759.254861111112,21010.24,1732.53,43994.2,48784.43889908441
18759.255555555555,21010.02,1732.85,43994.13,48784.29238986459
18759.25625,21009.5,1732.92,43994.16,48784.09798368727
18759.256944444445,21009.45,1732.53,43994.25,48784.14376173779
18759.25763888889,21009.56,1731.95,43994.33,48784.24268495925
18759.258333333335,21009.75,1731.89,43994.43,48784.41256241075
18759.259027777778,21009.03,1732.67,43994.29,48784.00393032433
18759.25972222222,21008.78,1733.21,43994.13,48783.77115854616
18759.260416666668,21008.89,1733.23,43994.09,48783.78316810925
18759.26111111111,21008.76,1733.35,43994.02,48783.66831963849
18759.261805555554,21008.39,1733.6,43993.99,48783.49080859425
18759.2625,21008.28,1733.67,43993.93,48783.391815987954
18759.263194444444,21008.27,1733.99,43993.88,48783.353791712594
18759.26388888889,21008.08,1733.53,43993.87,48783.24660294967
18759.264583333334,21007.9,1733.78,43993.9,48783.205027021344
18759.265277777777,21007.59,1734.14,43993.91,48783.09334427041
18759.265972222223,21007.37,1734.28,43993.86,48782.95849100278
18759.266666666666,21007.28,1733.74,43993.94,48782.97268627241
18759.26736111111,21007.27,1733.75,43993.9,48782.93266220677
18759.268055555556,21007.0,1734.34,43993.67,48782.62994452533
18759.26875,21006.56,1733.68,43993.79,48782.52523127621
18759.269444444446,21006.51,1733.23,43993.97,48782.650040500055
18759.27013888889,21006.42,1732.96,43993.91,48782.54758277903
18759.270833333332,21006.11,1732.89,43993.88,48782.38455158378
18759.27152777778,21005.89,1732.96,43993.74,48782.166047043254
18759.272222222222,21005.62,1733.13,43993.68,48782.0017129648
18759.272916666665,21005.12,1733.47,43993.52,48781.65419956256
18759.27361111111,21005.07,1733.68,43993.32,48781.45976362024
18759.274305555555,21004.99,1732.92,43993.46,48781.524570252004
18759.275,21005.12,1733.0,43993.39,48781.52026030452
18759.275694444445,21005.4,1733.12,43993.35,48781.609017301795
18759.276388888888,21007.57,1727.55,43994.11,48783.03128137386
18759.277083333334,21018.55,1723.52,43996.1,48789.412586163606
18759.277777777777,21016.93,1739.63,43991.66,48785.28270613383
18759.27847222222,21018.38,1743.38,43989.91,48784.463238380515
18759.279166666667,21015.95,1746.94,43988.57,48782.335372663336
18759.27986111111,21013.52,1742.85,43989.33,48781.827587348555
18759.280555555557,21013.7,1743.11,43989.41,48781.98655559448
18759.28125,21012.65,1739.43,43990.11,48782.03413716467
18759.281944444443,21012.87,1738.67,43990.37,48782.33626777935
18759.28263888889,21011.58,1736.84,43990.52,48781.85069421209
18759.283333333333,21010.03,1736.83,43990.3,48780.98433959487
18759.28402777778,21006.58,1736.39,43989.94,48779.15820032261
18759.284722222223,21006.81,1737.4,43989.31,48778.725069564905
18759.285416666666,21006.44,1736.56,43989.58,48778.77930702653
18759.286111111112,21006.69,1739.35,43988.85,48778.32805151382
18759.286805555555,21006.3,1738.1,43988.96,48778.21473959046
18759.2875,21007.33,1737.05,43989.2,48778.83734849981
18759.288194444445,21006.49,1732.15,43990.23,48779.23022348242
18759.28888888889,21008.33,1731.98,43990.34,48780.11579962577
18759.289583333335,21010.7,1730.11,43990.52,48781.23250772268
18759.290277777778,21010.36,1727.93,43990.99,48781.43264188332
18759.29097222222,21010.13,1730.18,43990.06,48780.57466095393
18759.291666666668,21012.23,1727.62,43990.26,48781.56880733644
18759.29236111111,21012.4,1726.33,43990.69,48781.98413046563
18759.293055555554,21011.71,1724.49,43990.68,48781.61282436857
18759.29375,21012.2,1721.84,43991.23,48782.226258530885
18759.294444444444,21013.49,1722.2,43990.82,48782.4248996757
18759.29513888889,21014.53,1721.53,43990.75,48782.786126094725
18759.295833333334,21016.43,1724.02,43989.94,48782.96214980083
18759.296527777777,21015.61,1724.17,43989.44,48782.16331175361
18759.297222222223,21017.74,1723.9,43989.27,48782.91812766534
18759.297916666666,21019.01,1722.32,43989.54,48783.652968736365
18759.29861111111,21020.07,1720.79,43989.82,48784.30818061685
18759.299305555556,21019.44,1720.27,43989.65,48783.86509809366
18759.3,21018.64,1721.01,43989.15,48783.09564380063
18759.300694444446,21019.44,1719.18,43989.26,48783.47500059421
18759.30138888889,21020.1,1715.78,43989.97,48784.27990264179
18759.302083333332,21020.01,1715.37,43989.9,48784.16358457937
18759.30277777778,21019.77,1715.88,43989.41,48783.63626438071
18759.303472222222,21018.1,1714.37,43989.31,48782.77345931655
18759.304166666665,21017.44,1714.62,43989.19,48782.389678593034
18759.30486111111,21016.86,1716.41,43988.54,48781.61660789134
18759.305555555555,21017.78,1716.93,43988.25,48781.76977945552
18759.30625,21017.95,1715.78,43988.48,48782.009961883494
18759.306944444445,21018.47,1715.05,43988.7,48782.406719363484
18759.307638888888,21018.86,1714.04,43988.78,48782.61139698858
18759.308333333334,21019.75,1713.98,43988.73,48782.94768170329
18759.309027777777,21019.88,1715.48,43988.14,48782.524406844714
18759.30972222222,21020.09,1715.45,43987.88,48782.379392614705
18759.310416666667,21020.86,1713.84,43988.18,48782.92511112469
18759.31111111111,21021.62,1712.7,43988.36,48783.37487509449
18759.311805555557,21021.46,1712.8,43988.17,48783.13811472669
18759.3125,21020.73,1712.63,43987.97,48782.63723878303
18759.313194444443,21021.74,1714.4,43987.25,48782.48540767578
