datetime,time,btot,bx,by,bz,density,speed,dst,kp
2023-02-16 16:10:00+00:00,738567.673611,11.63,-5.9,-8.88,4.27,5.0,438.0,5.0,1.93
2023-02-16 16:11:00+00:00,738567.674306,11.52,-7.12,-8.0,3.95,6.0,432.0,5.0,1.95
2023-02-16 16:12:00+00:00,738567.675,11.67,-7.15,-7.73,4.76,5.0,432.0,5.0,1.96
2023-02-16 16:13:00+00:00,738567.675694,11.56,-6.98,-8.14,3.79,5.0,432.0,5.0,1.97
2023-02-16 16:14:00+00:00,738567.676389,11.55,-9.73,0.6,5.75,4.0,429.0,5.0,1.99
2023-02-16 16:15:00+00:00,738567.677083,14.54,-9.36,10.36,3.68,3.0,448.0,5.0,2.0
2023-02-16 16:16:00+00:00,738567.677778,15.11,-9.26,10.94,4.62,3.0,448.0,5.0,2.01
2023-02-16 16:17:00+00:00,738567.678472,15.09,-9.82,9.76,5.89,3.0,448.0,5.0,2.03
2023-02-16 16:18:00+00:00,738567.679167,15.22,-8.92,11.6,3.22,3.0,448.0,5.0,2.04
2023-02-16 16:19:00+00:00,738567.679861,15.01,-7.24,12.85,2.34,3.0,446.0,5.0,2.05
2023-02-16 16:20:00+00:00,738567.680556,14.52,-6.79,12.46,3.13,3.0,444.0,5.0,2.07
2023-02-16 16:21:00+00:00,738567.68125,14.16,-6.53,12.4,1.77,3.0,444.0,5.0,2.08
2023-02-16 16:22:00+00:00,738567.681944,14.05,-6.17,12.49,1.8,3.0,444.0,5.0,2.09
2023-02-16 16:23:00+00:00,738567.682639,14.19,-5.12,13.2,0.75,4.0,447.0,5.0,2.11
2023-02-16 16:24:00+00:00,738567.683333,14.32,-5.06,13.3,1.19,5.0,460.0,6.0,2.12
2023-02-16 16:25:00+00:00,738567.684028,13.9,-8.69,9.77,4.66,3.0,455.0,6.0,2.13
2023-02-16 16:26:00+00:00,738567.684722,13.84,-9.36,9.35,3.96,3.0,443.0,6.0,2.15
2023-02-16 16:27:00+00:00,738567.685417,13.78,-8.46,10.41,2.93,3.0,443.0,6.0,2.16
2023-02-16 16:28:00+00:00,738567.686111,13.85,-7.97,10.99,2.72,3.0,444.0,6.0,2.17
2023-02-16 16:29:00+00:00,738567.686806,13.9,-9.2,8.9,5.31,3.0,447.0,6.0,2.19
2023-02-16 16:30:00+00:00,738567.6875,13.39,-9.86,6.68,6.1,3.0,447.0,6.0,2.2
2023-02-16 16:31:00+00:00,738567.688194,13.35,-10.33,5.36,6.47,3.0,448.0,6.0,2.21
2023-02-16 16:32:00+00:00,738567.688889,12.95,-9.42,4.57,6.92,3.0,448.0,6.0,2.23
2023-02-16 16:33:00+00:00,738567.689583,12.92,-6.06,10.92,2.34,3.0,448.0,6.0,2.24
